States,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,78 ,68 , 92,81 ,70 , 95,82 ,71 , 97,83 ,72 , 98,84 ,73 , 100
Coast,79 ,70 , 93,81 ,71 , 95,82 ,71 , 96,83 ,72 , 97,84 ,73 , 99
Eastern,75 ,66 , 90,78 ,68 , 92,79 ,70 , 94,81 ,71 , 96,82 ,72 , 99
Nairobi,85 ,72 , 100,95 ,81 , 100,95 ,81 , 100,96 ,82 , 100,95 ,80 , 100
North Eastern,63 ,43 , 94,65 ,44 , 98,67 ,46 , 100,69 ,47 , 100,71 ,48 , 100
Nyanza,88 ,80 , 100,91 ,82 , 100,93 ,84 , 100,94 ,84 , 100,94 ,84 , 100
Rift Valley,80 ,71 , 92,83 ,73 , 95,83 ,73 , 97,83 ,73 , 98,83 ,73 , 98
Western,83 ,73 , 95,85 ,75 , 97,86 ,75 , 98,87 ,75 , 99,87 ,75 , 99
National,83 ,73,97,86 ,76,100,88 ,77,100,88 ,77,100,88 ,77,100
