States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,23.05 733 ,16.99 976 , 27.29 876,17.53 805 ,10.70 943 , 22.66 241,10.22 017 ,9.2 547 , 15.27 287,8.7 187 ,7.60 282 , 12.43 066,10.44 685 ,8.41 672 , 16.40 392,8.87 691 ,8.15 018 , 11.39 512,10.23 825 ,8.29 418 , 17.04 089,10.79 236 ,8.15 247 , 18.31 202,8.62 497 ,7.95 571 , 12.97 691,8.53 431 ,7.54 709 , 14.0 311
Afar,33.79 646 ,30.61 831 , 36.45 412,31.08 133 ,27.05 552 , 34.31 294,35.63 558 ,33.03 773 , 38.16 157,32.1 671 ,28.45 649 , 35.12 527,25.9 093 ,18.99 708 , 30.40 873,22.86 362 ,15.04 625 , 28.57 379,23.15 084 ,15.67 564 , 28.71 471,27.3 628 ,22.41 397 , 30.89 639,23.1 076 ,16.11 655 , 28.28 783,12.45 162 ,10.59 555 , 17.08 436
Amhara,29.49 043 ,25.96 312 , 32.63 095,25.7 468 ,21.38 779 , 29.99 072,20.25 525 ,14.15 943 , 25.46 142,17.37 213 ,12.07 317 , 23.28 894,18.44 957 ,12.13 344 , 24.10 409,16.72 792 ,10.9 973 , 22.67 013,16.19 896 ,10.12 593 , 22.45 663,17.59 931 ,9.94 083 , 23.37 981,11.76 143 ,8.1 706 , 17.75 319,15.37 762 ,9.20 177 , 22.22 664
Beneshangul Gumuz,31.60 785 ,27.52 631 , 35.0 231,28.47 533 ,23.31 364 , 32.7 018,25.06 876 ,17.71 195 , 30.26 625,25.90 306 ,19.01 808 , 30.96 992,21.24 129 ,14.00 091 , 28.09 757,21.00 777 ,13.67 781 , 27.60 628,19.89 134 ,12.55 542 , 26.64 974,20.24 076 ,11.09 925 , 26.54 802,21.26 367 ,11.97 254 , 27.37 067,21.47 816 ,11.6 185 , 27.42 986
Dire Dawa,26.98 326 ,22.72 293 , 30.58 859,20.78 742 ,15.60 519 , 25.64 173,13.84 817 ,11.35 159 , 17.2 958,13.98 928 ,11.16 756 , 18.47 444,13.91 966 ,11.36 168 , 17.90 183,13.62 811 ,11.14 155 , 18.55 151,17.3 289 ,11.78 697 , 23.09 269,14.43 578 ,9.82 029 , 20.70 427,18.67 473 ,12.09 291 , 24.45 209,18.43 626 ,11.70 602 , 24.84 871
Gambella,33.00 896 ,30.29 684 , 35.66 766,29.91 781 ,26.22 556 , 33.24 508,27.51 267 ,22.59 687 , 31.35 617,31.35 444 ,28.15 172 , 34.5 435,30.7 145 ,27.34 967 , 33.94 423,19.15 741 ,14.08 103 , 24.94 535,20.17 949 ,14.20 609 , 25.58 047,16.36 893 ,11.30 142 , 22.07 698,19.21 732 ,12.75 009 , 24.33 895,17.4 021 ,11.06 773 , 22.88 493
Harari,27.50 733 ,23.2 845 , 31.25 218,21.79 937 ,16.64 978 , 26.14 939,23.05 407 ,17.87 187 , 27.80 064,18.14 283 ,12.30 209 , 22.63 251,18.49 722 ,12.14 129 , 23.46 126,14.08 086 ,9.17 493 , 19.75 427,14.36 578 ,9.28 118 , 19.91 649,13.01 873 ,7.95 486 , 19.13 489,11.99 384 ,7.8 141 , 18.98 087,14.66 223 ,8.44 409 , 23.26 083
Oromiya,33.13 428 ,29.8 395 , 36.78 188,29.86 122 ,25.42 324 , 34.24 191,26.97 174 ,21.38 908 , 31.97 929,21.31 928 ,14.49 505 , 29.09 168,18.6 533 ,12.88 028 , 26.88 911,19.8 269 ,13.41 762 , 27.3 678,20.88 755 ,13.84 102 , 28.18 342,19.81 748 ,12.89 559 , 27.17 506,15.91 142 ,10.92 389 , 23.9 137,18.80 973 ,12.10 714 , 26.45 911
SNNPR,30.48 118 ,27.3 162 , 33.53 964,26.85 277 ,22.62 272 , 30.51 692,22.8 504 ,16.69 994 , 27.00 356,17.55 334 ,12.28 646 , 23.21 069,22.9 525 ,17.44 295 , 27.11 799,16.97 714 ,11.70 513 , 22.54 494,19.6 389 ,13.31 494 , 24.37 802,22.66 875 ,17.28 822 , 26.60 725,19.59 797 ,12.91 107 , 24.1 509,28.51 637 ,24.2 521 , 31.65 953
Somali,38.1 159 ,34.87 767 , 42.20 309,37.57 768 ,34.23 822 , 41.46 828,36.61 898 ,32.89 552 , 40.66 143,34.48 318 ,30.27 048 , 38.63 223,34.96 639 ,30.94 584 , 38.75 236,24.88 785 ,15.61 265 , 31.1 881,30.38 076 ,24.61 178 , 35.33 389,26.92 444 ,19.95 106 , 32.70 525,33.51 801 ,29.33 536 , 37.99 676,32.58 329 ,27.95 882 , 37.54 639
Tigray,28.76 509 ,25.57 323 , 32.24 826,25.7 928 ,22.15 428 , 30.02 576,11.46 604 ,9.98 076 , 14.25 949,14.02 249 ,10.2 964 , 20.02 863,10.14 491 ,8.30 154 , 14.05 378,10.43 959 ,8.23 621 , 16.2 464,14.06 658 ,9.05 921 , 21.0 838,14.10 719 ,8.80 343 , 21.50 915,12.22 546 ,8.79 218 , 20.06 379,12.96 161 ,8.65 948 , 21.27 724
