States,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,80 ,70 , 93,83 ,73 , 98,85 ,74 , 100,86 ,75 , 100,87 ,75 , 100
Coast,83 ,73 , 96,84 ,74 , 97,86 ,76 , 100,87 ,76 , 100,88 ,77 , 100
Eastern,81 ,72 , 94,84 ,74 , 97,86 ,75 , 100,86 ,75 , 100,87 ,76 , 100
Nairobi,84 ,72 , 97,92 ,79 , 100,91 ,78 , 100,91 ,78 , 100,90 ,76 , 100
North Eastern,55 ,38 , 83,59 ,40 , 88,61 ,41 , 92,63 ,42 , 95,65 ,44 , 100
Nyanza,86 ,79 , 98,90 ,82 , 100,93 ,84 , 100,94 ,84 , 100,93 ,83 , 100
Rift Valley,82 ,73 , 93,85 ,76 , 96,86 ,77 , 97,86 ,76 , 97,85 ,76 , 97
Western,85 ,75 , 97,88 ,77 , 100,91 ,80 , 100,91 ,80 , 100,92 ,80 , 100
National,84 ,73,97,87 ,77,100,89 ,78,100,90 ,79,100,90 ,79,100
