States,2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,... ,... , ...,... ,... , ...
Cidade de Maputo,... ,... , ...,91 ,78 , 100
Gaza,... ,... , ...,59 ,49 , 68
Inhambane,... ,... , ...,... ,... , ...
Manica,... ,... , ...,... ,... , ...
Maputo,... ,... , ...,37 ,32 , 42
Nampula,... ,... , ...,28 ,22 , 36
Niassa,... ,... , ...,... ,... , ...
Sofala,... ,... , ...,... ,... , ...
Tete,... ,... , ...,... ,... , ...
Zambezia,... ,... , ...,... ,... , ...
National,... ,...,...,45 ,36,56
