States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,<500 ,<500 , <500,<500 ,<500 , <1000,<500 ,<500 , <500,<1000 ,<500 , <1000,<1000 ,<500 , 1100,<1000 ,<500 , 1300,<1000 ,<500 , 1300,<1000 ,<500 , 1100,<1000 ,<500 , 1400,<1000 ,<500 , 1400
Coast,<1000 ,<1000 , 1100,<1000 ,<1000 , 1400,<1000 ,<1000 , 1000,<1000 ,<1000 , <1000,<1000 ,<1000 , 1200,1100 ,<1000 , 1700,<1000 ,<1000 , 1500,<1000 ,<1000 , 1300,<1000 ,<1000 , 1700,<1000 ,<1000 , 1600
Eastern,<1000 ,<1000 , 1100,1000 ,<1000 , 1400,<1000 ,<1000 , 1000,<1000 ,<1000 , 1100,<1000 ,<1000 , 1300,<1000 ,<1000 , 1600,<1000 ,<1000 , 1400,<1000 ,<500 , 1000,<1000 ,<500 , 1400,<1000 ,<1000 , 1600
Nairobi,<1000 ,<1000 , 1300,1100 ,<1000 , 1600,<1000 ,<1000 , 1000,1300 ,<1000 , 1900,1300 ,<1000 , 1900,1300 ,<1000 , 1800,1700 ,<1000 , 2700,1300 ,<1000 , 2000,1400 ,<1000 , 2200,1600 ,<1000 , 2600
North Eastern,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Nyanza,5300 ,4200 , 6900,6200 ,4400 , 8300,4800 ,3200 , 6200,3700 ,2900 , 4700,4000 ,2900 , 5100,4600 ,3300 , 6500,4500 ,3000 , 6500,4200 ,2700 , 6100,4200 ,2800 , 6600,4600 ,3100 , 7400
Rift Valley,1500 ,1100 , 1900,1800 ,1300 , 2400,1500 ,1100 , 1900,1700 ,1200 , 2300,1900 ,1300 , 2600,2200 ,1400 , 3100,2200 ,1400 , 3100,1800 ,1200 , 2400,2100 ,1200 , 2900,2200 ,1200 , 3200
Western,1200 ,<1000 , 1600,1500 ,<1000 , 2200,1100 ,<1000 , 1600,<1000 ,<1000 , 1300,1100 ,<1000 , 1500,1400 ,<1000 , 2000,1200 ,<1000 , 1800,1100 ,<1000 , 1800,1200 ,<1000 , 2200,1200 ,<1000 , 2100
National,11 000 ,6500,18 000,13 000 ,7800,22 000,10 000 ,6000,17 000,10 000 ,6000,16 000,11 000 ,6500,18 000,12 000 ,7500,21 000,12 000 ,7300,20 000,11 000 ,6400,18 000,11 000 ,6800,19 000,12 000 ,7200,20 000
