States,2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Addis Ababa,... ,... , ...,... ,... , ...,89 ,71 , 100
Afar,28 ,21 , 35,31 ,24 , 40,34 ,26 , 44
Amhara,56 ,43 , 68,59 ,46 , 72,64 ,50 , 79
Beneshangul Gumuz,55 ,42 , 72,60 ,45 , 78,61 ,45 , 80
Dire Dawa,34 ,26 , 43,46 ,36 , 60,54 ,43 , 71
Gambella,... ,... , ...,40 ,30 , 53,43 ,32 , 58
Oromiya,... ,... , ...,73 ,56 , 96,80 ,61 , 100
SNNPR,46 ,36 , 58,... ,... , ...,59 ,47 , 75
Somali,29 ,20 , 43,30 ,21 , 45,35 ,24 , 52
Tigray,... ,... , ...,... ,... , ...,60 ,46 , 79
National,... ,...,...,62 ,48,78,69 ,54,87
