States,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,70 ,66 , 75,73 ,69 , 79,79 ,74 , 85,80 ,75 , 86,87 ,81 , 94
Copperbelt,72 ,68 , 76,74 ,71 , 79,78 ,74 , 83,81 ,77 , 86,83 ,79 , 88
Eastern,81 ,76 , 88,84 ,79 , 92,87 ,81 , 95,89 ,83 , 98,91 ,85 , 100
Luapula,77 ,73 , 83,80 ,75 , 86,84 ,79 , 89,86 ,82 , 92,88 ,84 , 94
Lusaka,71 ,66 , 76,74 ,69 , 80,79 ,74 , 86,85 ,79 , 92,88 ,82 , 95
Muchinga,83 ,78 , 91,85 ,79 , 94,88 ,81 , 97,91 ,84 , 100,100 ,92 , 100
North-Western,80 ,71 , 92,83 ,74 , 97,87 ,76 , 100,88 ,76 , 100,89 ,75 , 100
Northern,80 ,75 , 87,84 ,79 , 90,87 ,82 , 94,90 ,84 , 97,91 ,85 , 99
Southern,71 ,64 , 79,74 ,66 , 82,77 ,69 , 86,79 ,70 , 90,81 ,72 , 94
Western,84 ,74 , 97,88 ,77 , 100,92 ,80 , 100,95 ,82 , 100,98 ,84 , 100
National,74 ,68,81,77 ,71,85,81 ,75,89,84 ,78,93,87 ,81,96
