States,2019,2019_lower, 2019_upper
Baringo,4900 ,3400 , 6700
Bomet,9300 ,6900 , 12 000
Bungoma,9500 ,8700 , 10 000
Busia,28 000 ,24 000 , 31 000
Elgeyo-Marakwet,4000 ,3000 , 5200
Embu,7200 ,5500 , 9400
Garissa,1400 ,<1000 , 2400
Homa Bay,83 000 ,75 000 , 90 000
Isiolo,2100 ,1500 , 2800
Kajiado,18 000 ,14 000 , 23 000
Kakamega,32 000 ,25 000 , 40 000
Kericho,12 000 ,8500 , 16 000
Kiambu,32 000 ,21 000 , 46 000
Kilifi,23 000 ,20 000 , 27 000
Kirinyaga,9100 ,6800 , 12 000
Kisii,26 000 ,21 000 , 32 000
Kisumu,83 000 ,75 000 , 92 000
Kitui,21 000 ,18 000 , 24 000
Kwale,12 000 ,9600 , 14 000
Laikipia,5800 ,3800 , 8300
Lamu,1300 ,<1000 , 1900
Machakos,23 000 ,19 000 , 28 000
Makueni,15 000 ,11 000 , 20 000
Mandera,<1000 ,<500 , 1200
Marsabit,1700 ,1100 , 2700
Meru,20 000 ,16 000 , 25 000
Migori,52 000 ,47 000 , 57 000
Mombasa,34 000 ,30 000 , 40 000
Murang'a,13 000 ,11 000 , 16 000
Nairobi (County),110 000 ,100 000 , 120 000
Nakuru,38 000 ,27 000 , 51 000
Nandi,12 000 ,8700 , 15 000
Narok,12 000 ,9000 , 16 000
Nyamira,10 000 ,8000 , 13 000
Nyandarua,7100 ,5100 , 9400
Nyeri,15 000 ,12 000 , 18 000
Samburu,1300 ,<1000 , 1800
Siaya,66 000 ,57 000 , 75 000
Taita-Taveta,5200 ,4100 , 6400
Tana River,1000 ,<1000 , 1500
Tharaka-Nithi,5300 ,3900 , 7100
Trans-Nzoia,19 000 ,14 000 , 24 000
Turkana,11 000 ,8400 , 14 000
Uasin Gishu,29 000 ,21 000 , 38 000
Vihiga,13 000 ,11 000 , 16 000
Wajir,<1000 ,<500 , 1400
West Pokot,2500 ,1700 , 3400
National,940 000 ,820 000,1 100 000
