States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Central,40 422,50 978,57 181,61 798,62 534,66 133,89 133,79 802,85 267,92 594
Coast,30 749,38 395,43 173,47 129,62 102,70 631,66 109,82 751,81 586,87 290
Eastern,36 605,45 835,51 391,55 958,72 583,82 945,87 107,99 267,98 302,102 922
Nairobi,64 745,81 156,91 453,100 011,114 048,124 147,149 556,148 335,139 504,137 761
North Eastern,720,909,1020,1102,1333,1015,2030,2053,2053,2234
Nyanza,158 146,194 194,216 467,234 543,272 570,328 035,364 969,424 371,397 645,416 311
Rift Valley,56 976,71 669,80 658,88 113,101 713,132 664,155 710,165 809,156 027,159 324
Western,44 259,55 849,62 654,67 715,68 343,92 074,104 291,110 362,107 252,113 818
National,432 622,538 985,603 997,656 369,755 226,897 644,1 018 905,1 112 750,1 067 636,1 112 254
