States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Ondo,36 ,21 , 56,46 ,28 , 71,44 ,27 , 65,45 ,28 , 68,54 ,34 , 80,61 ,39 , 90,55 ,34 , 81,48 ,31 , 72,45 ,29 , 67,63 ,41 , 95
Osun,22 ,13 , 37,32 ,19 , 52,41 ,26 , 64,59 ,37 , 90,41 ,26 , 63,39 ,25 , 60,37 ,24 , 58,24 ,16 , 37,31 ,20 , 49,26 ,17 , 41
Oyo,45 ,30 , 70,45 ,30 , 68,52 ,35 , 78,51 ,34 , 74,62 ,41 , 91,66 ,44 , 97,57 ,38 , 84,94 ,62 , 100,70 ,46 , 100,60 ,40 , 91
Plateau,0 ,0 , 0,0 ,0 , 0,11 ,8 , 15,69 ,50 , 94,88 ,63 , 100,58 ,42 , 77,27 ,20 , 36,38 ,28 , 53,39 ,28 , 54,34 ,25 , 48
Rivers,9 ,6 , 14,12 ,7 , 17,10 ,7 , 15,24 ,15 , 34,26 ,16 , 35,17 ,11 , 23,16 ,10 , 22,16 ,10 , 21,17 ,11 , 23,15 ,10 , 22
Sokoto,43 ,22 , 89,52 ,26 , 100,35 ,17 , 70,28 ,13 , 55,31 ,14 , 63,7 ,3 , 15,14 ,7 , 31,20 ,9 , 45,21 ,10 , 45,18 ,8 , 38
Taraba,15 ,11 , 19,16 ,12 , 20,16 ,12 , 20,36 ,27 , 45,53 ,40 , 67,40 ,30 , 51,43 ,31 , 56,55 ,39 , 72,17 ,12 , 22,38 ,27 , 51
Yobe,2 ,1 , 3,2 ,1 , 3,1 ,0 , 1,61 ,30 , 100,11 ,5 , 20,12 ,6 , 20,38 ,18 , 67,78 ,35 , 100,77 ,34 , 100,75 ,32 , 100
Zamfara,42 ,20 , 86,55 ,26 , 100,41 ,21 , 84,23 ,11 , 45,23 ,12 , 45,13 ,7 , 25,19 ,10 , 36,16 ,9 , 30,17 ,9 , 34,14 ,8 , 28
National,27 ,17,39,33 ,21,48,40 ,26,59,53 ,35,78,62 ,41,91,53 ,34,77,56 ,37,82,51 ,33,74,43 ,28,63,43 ,28,62
