States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,<500 ,<200 , <500,<1000 ,<500 , 1100,<1000 ,<1000 , 1600,1100 ,<1000 , 1800,1200 ,<1000 , 2000,1200 ,<1000 , 2000,1200 ,<1000 , 2100,1200 ,<1000 , 2200,1300 ,<1000 , 2200,1300 ,<1000 , 2400
Cidade de Maputo,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,1100 ,<1000 , 1500,<1000 ,<1000 , 1500,<1000 ,<1000 , 1300,<1000 ,<1000 , 1300,<1000 ,<1000 , 1300,<1000 ,<500 , 1200,<1000 ,<500 , 1200,<1000 ,<500 , 1200
Gaza,<1000 ,<1000 , <1000,1700 ,1200 , 2300,2000 ,1600 , 2800,1900 ,1500 , 2700,1900 ,1500 , 2600,1800 ,1300 , 2500,1600 ,1100 , 2600,1600 ,1100 , 2200,1500 ,<1000 , 2300,1300 ,<1000 , 2200
Inhambane,<500 ,<500 , <500,<1000 ,<500 , <1000,<1000 ,<1000 , 1300,1100 ,<1000 , 1500,<1000 ,<1000 , 1400,<1000 ,<1000 , 1400,<1000 ,<1000 , 1400,<1000 ,<1000 , 1500,<1000 ,<1000 , 1500,<1000 ,<500 , 1700
Manica,<500 ,<200 , <500,<500 ,<500 , <1000,<1000 ,<1000 , 1200,1100 ,<1000 , 1600,1300 ,<1000 , 2200,1300 ,<1000 , 2100,1400 ,<1000 , 2200,1300 ,<1000 , 2100,1300 ,<1000 , 2200,1300 ,<1000 , 2100
Maputo,1200 ,<1000 , 1500,2600 ,1900 , 3300,2800 ,2300 , 3400,2000 ,1400 , 2500,2800 ,1900 , 3700,2900 ,1900 , 3900,2500 ,1500 , 3300,2800 ,1700 , 3800,2700 ,1600 , 3700,2700 ,1500 , 3700
Nampula,<1000 ,<500 , <1000,1600 ,1200 , 2500,1700 ,1200 , 2600,1500 ,<1000 , 2200,1700 ,1100 , 2600,1900 ,1200 , 2900,1600 ,<1000 , 2400,2100 ,1300 , 3500,2300 ,1500 , 4300,2500 ,1500 , 4800
Niassa,<100 ,<100 , <100,<500 ,<200 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1000,<1000 ,<500 , 1100,<1000 ,<500 , 1400,<1000 ,<500 , 1400,<1000 ,<500 , 1700
Sofala,<500 ,<500 , <1000,<1000 ,<500 , <1000,2000 ,1500 , 2900,2100 ,1600 , 2900,2000 ,1500 , 2800,2000 ,1500 , 2800,2000 ,1400 , 3100,2000 ,1500 , 3100,2100 ,1500 , 3400,2100 ,1500 , 3600
Tete,<200 ,<200 , <500,<200 ,<200 , <500,<1000 ,<1000 , 1300,<1000 ,<500 , 1400,1200 ,<1000 , 2200,1200 ,<1000 , 2100,1000 ,<1000 , 1800,1100 ,<1000 , 2000,1100 ,<1000 , 2000,1100 ,<1000 , 2300
Zambezia,<1000 ,<1000 , <1000,1700 ,1200 , 2300,2600 ,1800 , 3900,3400 ,2600 , 4900,3300 ,2400 , 5200,3500 ,2500 , 5600,3500 ,2400 , 6100,3700 ,2600 , 6300,3900 ,2700 , 6900,3900 ,2500 , 6600
National,5500 ,3400,9600,11 000 ,6900,19 000,16 000 ,9900,28 000,17 000 ,10 000,29 000,18 000 ,11 000,31 000,18 000 ,11 000,31 000,17 000 ,10 000,30 000,18 000 ,11 000,32 000,18 000 ,11 000,32 000,18 000 ,11 000,32 000
