States,2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,... ,... , ...,77 ,73 , 81
Copperbelt,65 ,63 , 68,73 ,70 , 76
Eastern,... ,... , ...,86 ,81 , 91
Luapula,64 ,61 , 67,... ,... , ...
Lusaka,60 ,58 , 64,77 ,74 , 82
Muchinga,56 ,53 , 60,79 ,74 , 84
North-Western,66 ,57 , 75,73 ,62 , 84
Northern,29 ,28 , 31,... ,... , ...
Southern,53 ,48 , 59,73 ,66 , 82
Western,69 ,61 , 80,80 ,70 , 93
National,60 ,56,64,77 ,72,82
