States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Abia,16 ,11 , 23,18 ,13 , 25,14 ,10 , 19,20 ,15 , 27,26 ,20 , 33,28 ,22 , 34,30 ,24 , 37,33 ,26 , 40,35 ,28 , 43,26 ,20 , 32
Adamawa,55 ,41 , 77,62 ,47 , 87,49 ,37 , 69,50 ,38 , 70,49 ,37 , 69,55 ,40 , 76,60 ,44 , 83,66 ,49 , 90,72 ,53 , 98,78 ,57 , 100
Akwa Ibom,26 ,21 , 32,29 ,24 , 36,23 ,19 , 28,10 ,8 , 12,13 ,10 , 15,13 ,11 , 16,14 ,12 , 17,15 ,13 , 18,16 ,13 , 19,33 ,27 , 40
Anambra,10 ,8 , 15,10 ,8 , 14,10 ,7 , 14,19 ,15 , 26,27 ,22 , 36,27 ,21 , 36,30 ,23 , 39,30 ,23 , 39,30 ,23 , 40,32 ,24 , 43
Bauchi,32 ,19 , 56,37 ,22 , 64,30 ,18 , 50,58 ,34 , 95,43 ,25 , 71,41 ,24 , 69,51 ,30 , 84,58 ,34 , 97,71 ,42 , 100,71 ,43 , 100
Bayelsa,11 ,7 , 15,12 ,9 , 16,9 ,7 , 12,12 ,9 , 15,11 ,9 , 15,14 ,11 , 18,16 ,13 , 21,19 ,15 , 24,20 ,15 , 25,21 ,16 , 28
Benue,19 ,15 , 24,21 ,16 , 25,22 ,18 , 27,23 ,19 , 28,36 ,29 , 42,47 ,37 , 55,50 ,40 , 60,54 ,42 , 64,57 ,45 , 69,69 ,55 , 86
Borno,28 ,16 , 51,32 ,18 , 57,25 ,15 , 45,48 ,28 , 85,19 ,12 , 35,19 ,12 , 36,20 ,12 , 36,21 ,12 , 37,22 ,12 , 38,27 ,16 , 47
Cross River,26 ,21 , 35,29 ,23 , 37,22 ,18 , 28,36 ,30 , 46,38 ,31 , 48,47 ,37 , 58,47 ,37 , 58,50 ,39 , 61,56 ,44 , 69,82 ,64 , 100
Delta,11 ,8 , 16,12 ,9 , 17,10 ,7 , 14,21 ,17 , 29,24 ,19 , 33,25 ,20 , 33,27 ,21 , 35,28 ,22 , 36,30 ,23 , 39,34 ,27 , 45
Ebonyi,10 ,7 , 13,12 ,9 , 16,14 ,10 , 19,32 ,24 , 44,29 ,22 , 39,26 ,20 , 33,30 ,23 , 39,38 ,29 , 50,34 ,26 , 44,33 ,26 , 43
Edo,40 ,29 , 56,40 ,29 , 55,40 ,29 , 54,40 ,30 , 53,40 ,30 , 52,40 ,31 , 51,40 ,31 , 51,40 ,31 , 50,40 ,31 , 50,46 ,37 , 59
Ekiti,18 ,12 , 28,18 ,13 , 28,19 ,13 , 29,19 ,14 , 29,20 ,14 , 30,20 ,15 , 30,21 ,15 , 31,21 ,15 , 31,22 ,15 , 32,24 ,17 , 36
Enugu,0 ,0 , 0,0 ,0 , 0,33 ,26 , 43,20 ,15 , 25,31 ,24 , 39,31 ,24 , 39,31 ,24 , 40,31 ,24 , 40,31 ,24 , 40,42 ,31 , 54
FCT, Abuja,93 ,63 , 100,100 ,68 , 100,76 ,51 , 100,100 ,73 , 100,100 ,68 , 100,98 ,67 , 100,100 ,79 , 100,100 ,76 , 100,100 ,75 , 100,94 ,64 , 100
Gombe,3 ,2 , 5,4 ,3 , 6,3 ,2 , 5,78 ,55 , 100,94 ,67 , 100,100 ,73 , 100,100 ,73 , 100,100 ,73 , 100,100 ,72 , 100,100 ,82 , 100
Imo,9 ,7 , 12,10 ,7 , 13,8 ,6 , 10,23 ,18 , 30,31 ,23 , 39,30 ,23 , 39,30 ,22 , 38,29 ,22 , 37,29 ,21 , 36,42 ,29 , 53
Jigawa,26 ,16 , 47,30 ,18 , 51,24 ,15 , 40,35 ,21 , 56,39 ,23 , 63,39 ,24 , 66,44 ,27 , 74,55 ,33 , 92,59 ,36 , 100,63 ,38 , 100
Kaduna,72 ,52 , 100,86 ,61 , 100,71 ,50 , 99,76 ,54 , 100,73 ,53 , 100,69 ,50 , 96,74 ,53 , 100,75 ,54 , 100,69 ,48 , 97,82 ,57 , 100
Kano,33 ,22 , 55,38 ,25 , 61,31 ,20 , 49,43 ,29 , 67,48 ,32 , 76,49 ,33 , 77,54 ,35 , 83,58 ,37 , 89,62 ,40 , 95,60 ,39 , 94
Katsina,39 ,20 , 81,45 ,22 , 90,36 ,18 , 72,48 ,24 , 95,59 ,29 , 100,66 ,32 , 100,70 ,35 , 100,43 ,22 , 84,42 ,21 , 82,44 ,22 , 86
Kebbi,47 ,32 , 79,55 ,36 , 89,44 ,29 , 71,23 ,15 , 37,26 ,17 , 41,32 ,21 , 51,36 ,23 , 56,42 ,27 , 65,28 ,18 , 44,33 ,22 , 51
Kogi,14 ,10 , 22,16 ,12 , 26,20 ,14 , 31,23 ,17 , 36,27 ,19 , 40,30 ,22 , 45,34 ,24 , 51,38 ,27 , 57,41 ,30 , 62,48 ,34 , 73
Kwara,26 ,16 , 41,29 ,18 , 44,31 ,19 , 47,32 ,20 , 48,33 ,21 , 48,33 ,21 , 47,33 ,21 , 46,32 ,21 , 45,31 ,20 , 43,39 ,25 , 54
Lagos,6 ,5 , 9,7 ,6 , 10,15 ,12 , 21,23 ,18 , 31,30 ,24 , 39,36 ,29 , 47,42 ,34 , 54,48 ,38 , 62,53 ,42 , 69,68 ,53 , 89
Nassarawa,11 ,8 , 15,13 ,10 , 18,11 ,8 , 14,27 ,21 , 35,28 ,21 , 36,36 ,28 , 45,63 ,49 , 79,68 ,53 , 88,68 ,53 , 90,68 ,52 , 90
Niger,0 ,0 , 0,0 ,0 , 0,0 ,0 , 0,63 ,41 , 91,64 ,42 , 93,65 ,43 , 95,66 ,44 , 96,67 ,44 , 96,68 ,45 , 97,69 ,46 , 98
Ogun,16 ,11 , 24,18 ,13 , 27,21 ,15 , 30,24 ,17 , 33,27 ,19 , 37,29 ,20 , 39,31 ,22 , 42,33 ,23 , 46,33 ,22 , 45,37 ,26 , 53
Ondo,14 ,9 , 23,15 ,10 , 24,16 ,11 , 26,17 ,12 , 27,18 ,13 , 28,19 ,14 , 29,21 ,15 , 31,22 ,16 , 32,23 ,16 , 33,28 ,20 , 40
Osun,11 ,7 , 17,12 ,8 , 19,13 ,9 , 20,13 ,9 , 20,14 ,10 , 20,14 ,10 , 21,15 ,11 , 22,15 ,11 , 23,16 ,11 , 24,16 ,12 , 25
Oyo,22 ,15 , 32,23 ,16 , 34,24 ,17 , 36,26 ,19 , 38,28 ,20 , 39,29 ,21 , 41,31 ,22 , 43,32 ,23 , 45,34 ,25 , 48,33 ,24 , 47
Plateau,11 ,9 , 14,13 ,11 , 17,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100
Rivers,6 ,5 , 9,7 ,5 , 9,6 ,4 , 7,8 ,6 , 10,11 ,9 , 13,14 ,11 , 17,17 ,14 , 21,20 ,16 , 25,23 ,18 , 29,25 ,20 , 32
Sokoto,52 ,24 , 100,57 ,26 , 100,44 ,20 , 86,100 ,54 , 100,100 ,52 , 100,100 ,55 , 100,100 ,59 , 100,70 ,33 , 100,62 ,29 , 100,74 ,35 , 100
Taraba,44 ,36 , 55,50 ,41 , 61,39 ,32 , 48,55 ,45 , 67,67 ,54 , 82,68 ,55 , 83,68 ,56 , 84,69 ,56 , 85,71 ,58 , 89,73 ,59 , 90
Yobe,61 ,29 , 100,69 ,33 , 100,54 ,26 , 100,40 ,19 , 75,38 ,18 , 71,69 ,34 , 100,72 ,35 , 100,74 ,36 , 100,77 ,38 , 100,98 ,49 , 100
Zamfara,23 ,12 , 43,26 ,14 , 49,21 ,11 , 39,25 ,13 , 44,57 ,31 , 100,35 ,19 , 63,33 ,18 , 59,31 ,16 , 55,29 ,15 , 51,36 ,19 , 64
National,22 ,16,30,25 ,18,33,25 ,18,33,30 ,23,41,34 ,25,46,37 ,27,50,41 ,30,55,42 ,32,57,44 ,33,59,50 ,38,68
