States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Central,2846,3828,4371,4742,4532,4643,5685,4802,4459,4314
Coast,2208,2970,3391,3679,5251,5586,4850,6173,5192,5345
Eastern,3989,5365,6126,6646,7976,8110,8263,9180,8020,7269
Nairobi,4194,5641,6442,6988,6728,6125,7778,7611,6259,5263
North Eastern,63,85,97,105,84,61,138,119,108,123
Nyanza,14 269,19 191,21 915,23 774,26 277,27 006,31 636,35 212,30 855,29 427
Rift Valley,5052,6794,7759,8417,9831,11 955,12 182,13 360,11 334,10 318
Western,3475,4674,5337,5790,5391,8061,8207,9866,8117,8031
National,36 096,48 548,55 438,60 141,66 070,71 547,78 739,86 323,74 344,70 090
