States,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,53 ,47 , 61,75 ,65 , 86,67 ,58 , 78,71 ,62 , 84,79 ,67 , 94
Coast,,,,,,,,,,,,,71 ,62 , 83
Eastern,,,,,,,,,,,,,67 ,58 , 78
Nairobi,,,,,,,,,,,,,79 ,66 , 91
North Eastern,,,,,,,,,,,,,... ,... , ...
Nyanza,,,,,,,,,,,,,83 ,74 , 94
Rift Valley,,,,,,,,,,,,,55 ,49 , 62
Western,,,,,,,,,,,,,89 ,78 , 100
National,... ,...,...,... ,...,...,... ,...,...,... ,...,...,74 ,65,86
