States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Central,33 350,36 058,48 906,48 508,63 068,82 267,90 786,106 783,115 333,131 219
Copperbelt,82 948,94 540,105 958,120 167,141 724,158 820,167 642,174 691,181 554,204 230
Eastern,29 136,40 052,41 655,54 578,63 630,70 353,71 059,75 912,85 218,93 818
Luapula,13 613,15 888,18 100,23 603,24 830,29 855,35 580,36 067,46 798,50 709
Lusaka,102 907,117 707,137 233,149 049,175 679,220 461,227 373,229 424,261 310,280 495
Muchinga,6916,9390,10 587,13 638,15 990,20 257,15 563,16 360,23 173,27 231
North-Western,8671,10 647,11 633,16 308,16 177,20 051,22 781,23 452,26 242,27 747
Northern,11 284,20 684,15 221,21 924,24 304,29 852,31 367,30 552,37 266,42 332
Southern,40 167,56 091,64 885,75 973,86 069,78 797,85 254,99 751,118 619,129 400
Western,20 084,22 664,25 703,36 016,42 230,47 933,49 320,59 537,68 635,77 140
National,349 076,423 721,479 881,559 764,653 701,758 646,796 725,852 529,964 148,1 064 321
