States,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,77 ,66 , 87,79 ,67 , 89,80 ,68 , 91,81 ,69 , 93,82 ,70 , 95
Harare,79 ,68 , 92,82 ,70 , 95,84 ,73 , 97,85 ,73 , 99,86 ,73 , 100
Manicaland,77 ,66 , 87,80 ,69 , 91,82 ,71 , 95,84 ,72 , 97,86 ,74 , 100
Mashonaland Central,80 ,68 , 94,88 ,75 , 100,97 ,82 , 100,97 ,83 , 100,100 ,97 , 100
Mashonaland East,70 ,61 , 80,74 ,64 , 84,76 ,66 , 87,78 ,67 , 89,80 ,69 , 92
Mashonaland West,76 ,66 , 87,81 ,70 , 93,86 ,75 , 99,88 ,77 , 100,96 ,84 , 100
Masvingo,77 ,67 , 88,81 ,69 , 92,83 ,71 , 95,84 ,73 , 97,87 ,75 , 99
Matabeleland North,73 ,64 , 84,77 ,67 , 89,81 ,70 , 93,83 ,72 , 96,86 ,75 , 100
Matabeleland South,72 ,63 , 80,76 ,67 , 84,80 ,70 , 88,82 ,72 , 90,84 ,74 , 93
Midlands,75 ,66 , 86,79 ,69 , 89,80 ,70 , 91,81 ,70 , 92,81 ,70 , 92
National,76 ,65,87,79 ,68,91,82 ,71,95,84 ,72,96,87 ,75,100
