States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Central,1207,1700,1342,2704,3081,3565,3570,3385,3640,3812
Coast,2765,3938,3006,2865,3725,4886,4392,3794,4437,4155
Eastern,2875,3961,3047,3286,3916,4411,4043,3217,3903,4051
Nairobi,3983,5529,4214,7020,6876,6713,8788,7056,7299,7892
North Eastern,24,34,28,43,95,92,68,34,89,101
Nyanza,21 160,27 238,22 264,17 635,19 569,23 348,22 818,21 867,22 931,23 786
Rift Valley,5220,7179,5782,6808,7950,9538,9606,7912,8980,9276
Western,4341,6062,4705,4197,5047,6471,6012,5802,6244,6231
National,41 575,55 641,44 388,44 558,50 259,59 024,59 297,53 067,57 523,59 304
