States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,21 ,14 , 29,61 ,42 , 85,80 ,56 , 100,100 ,72 , 100,100 ,76 , 100,100 ,75 , 100,100 ,84 , 100,100 ,78 , 100,100 ,82 , 100,100 ,76 , 100
Cidade de Maputo,89 ,70 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100
Gaza,32 ,25 , 39,73 ,56 , 88,89 ,69 , 100,98 ,74 , 100,100 ,84 , 100,100 ,78 , 100,96 ,72 , 100,100 ,90 , 100,100 ,85 , 100,100 ,85 , 100
Inhambane,26 ,20 , 33,55 ,41 , 70,75 ,58 , 97,99 ,73 , 100,90 ,67 , 100,82 ,60 , 100,80 ,57 , 100,96 ,68 , 100,88 ,61 , 100,83 ,56 , 100
Manica,8 ,6 , 11,14 ,10 , 18,47 ,36 , 61,69 ,52 , 89,95 ,70 , 100,100 ,76 , 100,100 ,78 , 100,100 ,79 , 100,100 ,84 , 100,100 ,94 , 100
Maputo,18 ,14 , 21,34 ,27 , 40,26 ,21 , 30,40 ,31 , 46,59 ,45 , 69,62 ,47 , 72,56 ,43 , 66,62 ,46 , 73,60 ,44 , 71,61 ,45 , 73
Nampula,39 ,28 , 52,89 ,63 , 100,85 ,62 , 100,75 ,54 , 97,82 ,61 , 100,88 ,62 , 100,71 ,50 , 92,89 ,62 , 100,95 ,66 , 100,96 ,68 , 100
Niassa,6 ,5 , 9,32 ,23 , 46,62 ,46 , 88,60 ,44 , 84,68 ,50 , 97,74 ,53 , 100,78 ,54 , 100,88 ,62 , 100,83 ,56 , 100,89 ,62 , 100
Sofala,10 ,8 , 13,21 ,15 , 26,91 ,69 , 100,100 ,77 , 100,100 ,72 , 100,100 ,81 , 100,100 ,75 , 100,100 ,82 , 100,100 ,76 , 100,100 ,78 , 100
Tete,5 ,4 , 7,8 ,6 , 10,58 ,43 , 75,63 ,44 , 83,93 ,64 , 100,97 ,69 , 100,89 ,62 , 100,92 ,62 , 100,93 ,63 , 100,100 ,69 , 100
Zambezia,19 ,14 , 24,43 ,32 , 55,65 ,49 , 84,93 ,69 , 100,93 ,70 , 100,97 ,71 , 100,95 ,72 , 100,100 ,78 , 100,100 ,86 , 100,100 ,91 , 100
National,24 ,17,31,50 ,36,67,78 ,55,100,83 ,59,100,92 ,66,100,95 ,68,100,89 ,64,100,100 ,71,100,100 ,72,100,100 ,74,100
