States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Central,20 007,28 870,32 292,35 630,34 368,42 409,58 720,52 095,55 595,60 616
Coast,16 503,23 813,26 635,29 389,41 153,45 480,42 455,53 301,53 053,57 813
Eastern,19 247,27 774,31 066,34 276,47 956,53 935,56 755,64 700,64 486,67 701
Nairobi,35 258,50 877,56 907,62 788,73 404,77 640,94 860,94 374,89 594,87 824
North Eastern,350,504,564,623,868,652,1285,1312,1298,1377
Nyanza,80 465,116 111,129 871,143 295,172 513,205 435,228 050,264 525,247 445,259 837
Rift Valley,30 772,44 405,49 667,54 801,64 046,79 019,99 322,105 035,99 213,101 706
Western,21 715,31 335,35 048,38 670,37 300,59 320,67 948,68 981,70 014,74 119
National,224 317,323 689,362 050,399 472,471 608,563 890,649 395,704 323,680 698,710 993
