States,2019,2019_lower, 2019_upper
Muheza DC,0.11 ,0.04 , <0.01
Muleba DC,0.77 ,0.17 , <0.01
Musoma DC,0.02 ,<0.01 , <0.01
Musoma MC,3.89 ,1.57 , <0.01
Mvomero DC,2.41 ,0.35 , <0.01
Mwanga DC,0.31 ,0.12 , <0.01
Nachingwea DC,1.71 ,0.14 , <0.01
Namtumbo DC,0.06 ,0.01 , <0.01
Nanyamba TC,10.58 ,6.67 , 0.02
Nanyumbu DC,2.69 ,0.19 , 0.01
Newala DC,2.00 ,0.16 , <0.01
Newala TC,4.49 ,0.67 , 0.02
Ngara DC,0.51 ,0.03 , <0.01
Ngorongoro DC,12.64 ,5.54 , 0.03
Njombe DC,3.66 ,0.15 , 0.02
Njombe TC,1.02 ,0.07 , <0.01
Nkasi DC,4.99 ,1.81 , 0.01
Nsimbo DC,0.14 ,0.02 , <0.01
Nyamagana MC,0.33 ,0.04 , <0.01
Nyang'hwale DC,1.00 ,0.52 , <0.01
Nyasa DC,4.51 ,2.23 , <0.01
Nzega DC,1.43 ,0.51 , <0.01
Nzega TC,10.14 ,2.68 , 0.03
Pangani DC,1.32 ,0.44 , <0.01
Rombo DC,0.31 ,0.08 , <0.01
Rorya DC,1.44 ,0.18 , <0.01
Ruangwa DC,7.48 ,2.67 , 0.02
Rufiji DC,14.74 ,1.40 , 0.06
Rungwe DC,15.12 ,4.42 , 0.04
Same DC,2.00 ,0.63 , <0.01
Sengerema DC,0.61 ,0.08 , <0.01
Serengeti DC,0.49 ,0.05 , <0.01
Shinyanga DC,<0.01 ,<0.01 , <0.01
Shinyanga MC,2.99 ,0.93 , <0.01
Siha DC,5.67 ,0.73 , 0.02
Sikonge DC,1.47 ,0.10 , <0.01
Simanjiro DC,1.14 ,0.50 , <0.01
Singida DC,3.40 ,1.12 , <0.01
Singida MC,6.62 ,2.40 , 0.02
Songea DC,2.69 ,1.68 , <0.01
Songea MC,6.76 ,3.63 , 0.01
Songwe DC,2.72 ,0.21 , 0.01
Sumbawanga DC,1.64 ,0.79 , <0.01
Sumbawanga MC,1.83 ,0.20 , <0.01
Tabora MC,1.90 ,0.36 , <0.01
Tandahimba DC,2.08 ,0.16 , 0.01
Tanga CC,4.53 ,1.98 , <0.01
Tarime DC,0.33 ,0.01 , <0.01
Tarime TC,0.14 ,0.03 , <0.01
Temeke MC,0.68 ,0.08 , <0.01
Tunduma TC,1.23 ,0.09 , <0.01
Tunduru DC,2.01 ,0.51 , <0.01
Ubungo MC,0.45 ,0.16 , <0.01
Ukerewe DC,1.22 ,0.14 , <0.01
Ulanga DC,3.37 ,0.69 , 0.01
Urambo DC,0.90 ,0.05 , <0.01
Ushetu DC,5.50 ,2.06 , 0.01
Uvinza DC,0.77 ,0.04 , <0.01
Uyui DC,0.51 ,0.04 , <0.01
Wanging'ombe DC,7.53 ,3.43 , 0.01
Wete,1.78 ,0.72 , <0.01
National,3.19 ,1.67,4.28
