States,2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,6.31 ,4.77 , 8.04,5.92 ,4.49 , 7.65,5.76 ,4.44 , 7.44,5.52 ,4.21 , 7.05,5.55 ,4.32 , 7.00,5.30 ,4.21 , 6.72,5.16 ,4.10 , 6.58,4.97 ,3.88 , 6.35,4.64 ,3.64 , 6.00,4.64 ,3.54 , 6.20,4.22 ,3.09 , 5.76,3.77 ,2.74 , 5.46,3.48 ,2.48 , 5.00,2.97 ,2.01 , 4.49,2.75 ,1.79 , 4.42,2.58 ,1.57 , 4.19,2.35 ,1.38 , 3.89,1.98 ,1.12 , 3.55,1.86 ,0.99 , 3.42,1.80 ,0.90 , 3.39
Coast,7.03 ,5.49 , 8.54,6.86 ,5.38 , 8.28,6.68 ,5.31 , 8.12,6.46 ,5.11 , 7.87,6.16 ,4.96 , 7.54,5.99 ,4.87 , 7.32,6.01 ,4.94 , 7.41,5.65 ,4.52 , 7.10,5.14 ,4.00 , 6.60,5.02 ,3.84 , 6.49,4.92 ,3.76 , 6.58,4.39 ,3.23 , 6.06,4.24 ,3.10 , 5.94,4.03 ,2.90 , 5.83,3.67 ,2.62 , 5.35,3.11 ,2.20 , 4.64,2.93 ,2.00 , 4.39,2.96 ,2.03 , 4.62,2.53 ,1.60 , 4.21,2.46 ,1.54 , 4.22
Eastern,7.13 ,5.61 , 9.01,6.97 ,5.40 , 8.72,6.63 ,5.21 , 8.40,6.47 ,5.03 , 8.11,6.44 ,5.06 , 7.96,6.01 ,4.76 , 7.33,5.90 ,4.83 , 7.33,5.55 ,4.52 , 6.93,5.25 ,4.21 , 6.68,5.03 ,3.93 , 6.47,4.86 ,3.77 , 6.47,4.41 ,3.36 , 6.01,4.25 ,3.17 , 5.75,3.98 ,2.90 , 5.52,3.71 ,2.63 , 5.33,3.11 ,2.08 , 4.64,2.94 ,1.92 , 4.49,2.93 ,1.89 , 4.54,2.59 ,1.52 , 4.26,2.49 ,1.42 , 4.27
Nairobi,7.85 ,6.07 , 9.83,7.42 ,5.70 , 9.35,7.19 ,5.61 , 9.11,6.98 ,5.36 , 8.74,7.14 ,5.58 , 8.90,7.81 ,6.29 , 9.47,7.92 ,6.36 , 9.83,7.42 ,5.69 , 9.37,6.64 ,5.14 , 8.60,6.24 ,4.83 , 8.16,5.54 ,4.20 , 7.38,4.71 ,3.44 , 6.27,4.49 ,3.38 , 6.06,3.91 ,2.83 , 5.42,3.24 ,2.35 , 4.40,3.11 ,2.23 , 4.24,2.78 ,1.97 , 3.85,2.91 ,2.03 , 4.07,2.82 ,1.91 , 3.99,2.67 ,1.84 , 3.85
North Eastern,6.94 ,4.49 , 10.22,6.23 ,4.05 , 9.10,5.94 ,3.86 , 8.80,5.45 ,3.49 , 8.08,4.99 ,3.21 , 7.51,4.49 ,2.87 , 6.81,4.07 ,2.44 , 6.38,3.72 ,2.13 , 6.13,3.51 ,1.83 , 6.12,3.28 ,1.62 , 6.10,2.88 ,1.33 , 5.58,2.85 ,1.32 , 5.61,2.83 ,1.29 , 5.72,2.77 ,1.22 , 5.64,2.60 ,1.09 , 5.73,2.53 ,1.05 , 5.73,2.65 ,1.19 , 6.12,2.69 ,1.27 , 6.12,2.45 ,1.11 , 6.00,2.36 ,1.05 , 6.08
Nyanza,9.37 ,7.94 , 10.92,8.64 ,7.24 , 10.05,8.27 ,7.00 , 9.64,7.85 ,6.63 , 9.12,7.64 ,6.44 , 8.89,7.40 ,6.22 , 8.65,7.21 ,6.15 , 8.52,7.00 ,5.95 , 8.31,6.15 ,5.21 , 7.48,6.10 ,5.12 , 7.51,5.98 ,4.89 , 7.42,5.39 ,4.38 , 6.83,5.27 ,4.27 , 6.70,5.24 ,4.26 , 6.62,4.97 ,4.03 , 6.40,4.27 ,3.33 , 5.64,3.85 ,2.89 , 5.22,3.55 ,2.54 , 4.91,3.10 ,2.13 , 4.49,3.04 ,2.08 , 4.42
Rift Valley,7.46 ,6.03 , 9.26,7.15 ,5.79 , 8.85,6.73 ,5.49 , 8.38,6.78 ,5.55 , 8.41,6.49 ,5.30 , 8.06,6.26 ,5.13 , 7.66,6.09 ,5.05 , 7.57,5.82 ,4.81 , 7.12,5.49 ,4.44 , 6.81,5.49 ,4.47 , 6.88,5.16 ,4.11 , 6.61,4.82 ,3.84 , 6.20,4.74 ,3.74 , 6.11,4.52 ,3.50 , 6.03,4.35 ,3.26 , 5.77,4.03 ,2.93 , 5.50,3.67 ,2.60 , 5.14,3.53 ,2.44 , 5.02,3.30 ,2.21 , 4.87,3.27 ,2.15 , 4.88
Western,6.80 ,5.35 , 8.42,6.42 ,5.00 , 7.95,6.28 ,4.88 , 7.75,6.16 ,4.82 , 7.55,6.05 ,4.82 , 7.37,5.84 ,4.68 , 7.02,5.70 ,4.60 , 6.94,5.60 ,4.47 , 6.98,4.97 ,3.87 , 6.38,4.92 ,3.86 , 6.41,4.75 ,3.69 , 6.39,4.14 ,3.13 , 5.79,4.06 ,3.05 , 5.58,3.99 ,2.99 , 5.41,3.77 ,2.78 , 5.19,3.44 ,2.43 , 4.90,2.98 ,1.99 , 4.34,2.60 ,1.74 , 3.94,2.38 ,1.55 , 3.79,2.31 ,1.47 , 3.72
National,7.82 ,5.07,12.10,7.38 ,4.78,11.43,7.09 ,4.59,10.97,6.88 ,4.46,10.65,6.74 ,4.37,10.43,6.58 ,4.26,10.18,6.47 ,4.19,10.01,6.21 ,4.03,9.62,5.64 ,3.65,8.72,5.55 ,3.59,8.58,5.29 ,3.43,8.19,4.76 ,3.08,7.37,4.62 ,2.99,7.15,4.41 ,2.86,6.83,4.12 ,2.67,6.38,3.66 ,2.37,5.66,3.32 ,2.15,5.14,3.15 ,2.04,4.87,2.84 ,1.84,4.40,2.77 ,1.80,4.29
