States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,33 ,32 , 35,35 ,33 , 36,45 ,43 , 47,42 ,41 , 44,52 ,51 , 55,65 ,63 , 69,69 ,67 , 73,79 ,75 , 83,82 ,78 , 86,90 ,86 , 95
Copperbelt,47 ,45 , 48,51 ,50 , 53,55 ,53 , 57,60 ,58 , 62,69 ,66 , 71,74 ,72 , 77,76 ,73 , 79,76 ,74 , 80,77 ,74 , 80,84 ,81 , 88
Eastern,36 ,35 , 38,48 ,46 , 51,49 ,47 , 51,62 ,60 , 65,71 ,68 , 74,77 ,73 , 81,76 ,72 , 80,79 ,76 , 84,88 ,83 , 93,95 ,91 , 100
Luapula,27 ,26 , 28,30 ,29 , 31,33 ,32 , 35,43 ,41 , 44,44 ,42 , 46,51 ,49 , 54,60 ,58 , 63,60 ,57 , 63,76 ,73 , 80,82 ,79 , 86
Lusaka,42 ,40 , 44,46 ,44 , 48,51 ,49 , 54,53 ,51 , 56,60 ,58 , 63,73 ,70 , 77,73 ,70 , 77,71 ,68 , 75,78 ,75 , 83,82 ,78 , 86
Muchinga,28 ,28 , 30,38 ,36 , 39,42 ,40 , 43,52 ,50 , 55,60 ,57 , 63,74 ,71 , 78,56 ,54 , 60,58 ,56 , 62,81 ,77 , 87,94 ,89 , 100
North-Western,37 ,33 , 41,43 ,39 , 49,45 ,41 , 51,61 ,55 , 69,58 ,53 , 66,70 ,63 , 79,77 ,69 , 87,77 ,68 , 87,84 ,73 , 96,87 ,75 , 100
Northern,29 ,28 , 30,51 ,49 , 53,37 ,35 , 38,51 ,49 , 54,55 ,53 , 58,66 ,63 , 69,67 ,65 , 71,64 ,62 , 68,77 ,74 , 81,86 ,82 , 91
Southern,32 ,29 , 35,44 ,40 , 48,49 ,45 , 53,55 ,51 , 60,61 ,56 , 66,54 ,50 , 58,57 ,52 , 61,64 ,59 , 71,75 ,68 , 83,80 ,72 , 90
Western,30 ,28 , 33,33 ,30 , 36,36 ,33 , 39,49 ,44 , 54,56 ,50 , 62,61 ,55 , 68,61 ,54 , 69,72 ,64 , 82,82 ,72 , 95,91 ,80 , 100
National,37 ,35,40,44 ,41,47,48 ,45,51,54 ,51,58,60 ,57,65,68 ,64,73,69 ,65,74,72 ,68,77,79 ,74,85,85 ,80,92
