States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,9 ,7 , 12,10 ,8 , 14,10 ,8 , 13,16 ,12 , 20,22 ,16 , 28,28 ,20 , 36,32 ,23 , 41,32 ,23 , 43,36 ,26 , 48,43 ,31 , 58
Cidade de Maputo,47 ,41 , 53,55 ,48 , 61,54 ,47 , 60,79 ,68 , 88,72 ,62 , 80,88 ,75 , 99,99 ,85 , 100,96 ,82 , 100,100 ,89 , 100,100 ,94 , 100
Gaza,17 ,15 , 19,20 ,18 , 23,31 ,27 , 34,27 ,23 , 30,39 ,34 , 44,47 ,40 , 52,58 ,49 , 65,66 ,56 , 74,73 ,62 , 84,77 ,65 , 89
Inhambane,16 ,13 , 19,18 ,15 , 22,10 ,9 , 12,29 ,24 , 34,31 ,26 , 38,39 ,32 , 48,52 ,42 , 65,55 ,44 , 69,62 ,49 , 80,66 ,52 , 85
Manica,13 ,11 , 16,15 ,13 , 18,18 ,15 , 21,22 ,18 , 26,39 ,32 , 47,44 ,36 , 53,51 ,42 , 62,65 ,53 , 79,64 ,52 , 78,71 ,57 , 88
Maputo,11 ,10 , 12,13 ,12 , 15,10 ,9 , 11,16 ,14 , 17,22 ,19 , 25,23 ,20 , 26,30 ,26 , 33,34 ,30 , 39,40 ,34 , 45,46 ,39 , 51
Nampula,9 ,7 , 11,11 ,9 , 14,11 ,9 , 14,20 ,16 , 24,22 ,18 , 28,30 ,24 , 37,35 ,28 , 43,40 ,31 , 50,43 ,34 , 55,43 ,33 , 55
Niassa,11 ,9 , 15,14 ,11 , 19,25 ,19 , 33,24 ,18 , 32,22 ,17 , 29,24 ,18 , 32,28 ,21 , 39,36 ,27 , 50,45 ,32 , 62,46 ,32 , 64
Sofala,14 ,12 , 16,17 ,14 , 19,21 ,18 , 25,26 ,22 , 31,32 ,27 , 37,42 ,35 , 49,46 ,38 , 53,51 ,42 , 60,53 ,44 , 63,51 ,41 , 61
Tete,18 ,15 , 22,20 ,17 , 25,15 ,12 , 18,35 ,29 , 44,39 ,32 , 47,49 ,40 , 60,57 ,47 , 70,65 ,53 , 81,69 ,56 , 87,75 ,60 , 95
Zambezia,7 ,6 , 9,8 ,7 , 10,11 ,9 , 14,18 ,15 , 21,24 ,21 , 30,30 ,25 , 37,38 ,31 , 46,46 ,38 , 57,55 ,45 , 69,61 ,49 , 77
National,14 ,11,17,17 ,13,20,18 ,14,22,25 ,20,31,31 ,25,38,37 ,30,46,44 ,36,55,50 ,40,62,56 ,45,69,59 ,48,73
