States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Central,17 569,18 280,20 518,21 426,23 634,19 081,24 728,22 905,25 213,27 664
Coast,12 038,11 612,13 147,14 061,15 698,19 565,18 804,23 277,23 341,24 132
Eastern,13 369,12 696,14 199,15 036,16 651,20 900,22 089,25 387,25 796,27 952
Nairobi,25 293,24 638,28 104,30 235,33 916,40 382,46 918,46 350,43 651,44 674
North Eastern,307,320,359,374,381,302,607,622,647,734
Nyanza,63 412,58 892,64 681,67 474,73 780,95 594,105 283,124 634,119 345,127 047
Rift Valley,21 152,20 470,23 232,24 895,27 836,41 690,44 206,47 414,45 480,47 300
Western,19 069,19 840,22 269,23 255,25 652,24 693,28 136,31 515,29 121,31 668
National,172 209,166 748,186 509,196 756,217 548,262 207,290 771,322 104,312 594,331 171
