States,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Bulawayo,85 ,73 , 95,86 ,75 , 97,86 ,74 , 97,84 ,73 , 96,86 ,74 , 98
Harare,81 ,69 , 93,85 ,73 , 97,87 ,75 , 100,87 ,75 , 100,88 ,76 , 100
Manicaland,80 ,69 , 90,84 ,72 , 94,86 ,74 , 97,86 ,74 , 98,89 ,76 , 100
Mashonaland Central,84 ,73 , 100,94 ,81 , 100,100 ,87 , 100,100 ,86 , 100,100 ,100 , 100
Mashonaland East,75 ,66 , 84,78 ,68 , 88,80 ,70 , 91,81 ,70 , 91,83 ,71 , 95
Mashonaland West,81 ,71 , 92,85 ,75 , 97,92 ,81 , 100,90 ,80 , 100,98 ,86 , 100
Masvingo,82 ,72 , 91,86 ,75 , 95,88 ,77 , 98,88 ,77 , 99,93 ,81 , 100
Matabeleland North,81 ,72 , 92,84 ,74 , 96,87 ,76 , 99,87 ,77 , 100,89 ,78 , 100
Matabeleland South,79 ,71 , 87,82 ,74 , 90,85 ,77 , 94,88 ,79 , 97,90 ,82 , 100
Midlands,80 ,71 , 90,83 ,73 , 93,84 ,74 , 95,84 ,73 , 94,84 ,73 , 95
National,80 ,70,92,84 ,73,96,87 ,76,99,87 ,75,99,90 ,78,100
