States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Cabo Delgado,10 ,7 , 12,11 ,8 , 14,11 ,8 , 14,18 ,14 , 23,25 ,19 , 31,33 ,24 , 43,38 ,28 , 49,37 ,26 , 48,39 ,28 , 51,49 ,34 , 64
Cidade de Maputo,46 ,41 , 52,54 ,47 , 60,55 ,48 , 61,83 ,72 , 91,68 ,59 , 75,90 ,78 , 100,100 ,89 , 100,100 ,87 , 100,100 ,93 , 100,100 ,100 , 100
Gaza,20 ,17 , 22,24 ,21 , 27,35 ,31 , 39,31 ,27 , 34,48 ,43 , 54,58 ,50 , 65,70 ,61 , 79,79 ,68 , 88,87 ,74 , 99,92 ,79 , 100
Inhambane,18 ,15 , 21,21 ,17 , 25,12 ,10 , 14,35 ,29 , 41,40 ,33 , 48,49 ,40 , 60,65 ,53 , 81,62 ,50 , 77,79 ,62 , 99,82 ,64 , 100
Manica,14 ,12 , 16,16 ,13 , 19,19 ,16 , 23,23 ,19 , 27,45 ,38 , 54,49 ,41 , 59,58 ,48 , 69,73 ,60 , 87,72 ,59 , 87,79 ,65 , 98
Maputo,11 ,10 , 12,14 ,12 , 15,10 ,9 , 11,18 ,16 , 19,26 ,22 , 28,25 ,22 , 28,33 ,29 , 36,38 ,33 , 42,44 ,38 , 49,50 ,42 , 56
Nampula,9 ,7 , 11,12 ,9 , 14,13 ,10 , 15,21 ,17 , 26,27 ,22 , 33,36 ,29 , 44,41 ,33 , 50,46 ,37 , 57,50 ,39 , 63,50 ,39 , 63
Niassa,11 ,8 , 15,14 ,11 , 18,26 ,20 , 34,26 ,20 , 34,26 ,20 , 34,28 ,21 , 37,34 ,25 , 46,42 ,31 , 57,51 ,37 , 70,51 ,36 , 71
Sofala,15 ,13 , 17,18 ,15 , 20,23 ,20 , 27,28 ,24 , 32,36 ,31 , 42,49 ,42 , 57,54 ,45 , 63,59 ,49 , 69,62 ,51 , 73,58 ,48 , 69
Tete,17 ,14 , 21,20 ,17 , 24,15 ,13 , 19,29 ,24 , 35,42 ,34 , 51,54 ,44 , 65,63 ,51 , 77,72 ,58 , 89,77 ,62 , 96,82 ,65 , 100
Zambezia,7 ,6 , 9,8 ,7 , 10,12 ,10 , 14,20 ,17 , 24,28 ,24 , 34,35 ,30 , 43,44 ,37 , 53,53 ,44 , 65,62 ,51 , 77,67 ,55 , 84
National,15 ,12,18,18 ,14,21,19 ,16,24,27 ,22,33,35 ,29,43,43 ,35,52,52 ,42,63,57 ,46,70,63 ,51,77,67 ,54,82
