States,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bulawayo,27 327,36 507,42 608,50 211,57 239,63 923,64 109,68 401,60 015,67 085
Harare,47 239,63 148,73 688,86 942,99 087,106 304,126 497,145 101,134 170,157 383
Manicaland,38 050,50 697,59 175,69 430,79 225,90 448,99 099,111 405,101 249,122 705
Mashonaland Central,26 651,35 591,41 539,48 925,55 780,64 505,74 861,79 632,75 483,91 520
Mashonaland East,42 557,56 772,66 263,77 907,88 857,95 493,97 391,118 573,113 297,134 811
Mashonaland West,43 531,58 097,67 808,79 781,90 980,102 039,114 389,132 922,109 767,140 626
Masvingo,41 206,54 914,64 097,75 233,85 840,89 404,100 292,109 272,109 079,125 577
Matabeleland North,25 932,34 556,40 335,47 337,54 012,60 436,64 040,71 991,68 214,80 249
Matabeleland South,27 452,36 602,42 721,50 182,57 247,64 629,71 577,83 707,86 251,92 825
Midlands,43 316,57 772,67 431,79 251,90 397,100 342,108 502,125 277,119 235,136 410
National,363 261,484 656,565 665,665 199,758 664,837 523,920 757,1 046 281,976 760,1 149 191
