States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,28.8 493 ,27.06 636 , 30.91 192,25.65 889 ,23.47 556 , 28.01 977,25.96 882 ,23.62 261 , 28.37 963,18.6 306 ,15.48 642 , 21.69 277,16.76 255 ,12.85 576 , 19.80 773,14.09 127 ,9.11 687 , 17.84 853,12.54 585 ,8.11 888 , 16.4 459,11.04 284 ,7.2 023 , 15.82 015,9.92 753 ,6.30 014 , 14.44 249,9.01 061 ,5.83 329 , 13.23 113
Coast,22.7 404 ,19.69 633 , 25.54 363,17.65 507 ,14.61 165 , 20.41 984,20.66 996 ,17.81 555 , 23.65 424,20.983 ,18.25 686 , 23.97 365,16.86 969 ,13.33 758 , 20.41 764,11.10 684 ,8.7 182 , 14.85 485,12.54 737 ,9.36 792 , 16.04 703,14.82 111 ,11.07 413 , 18.57 483,10.44 969 ,7.65 138 , 14.46 552,11.20 151 ,8.00 074 , 15.49 113
Eastern,24.51 355 ,22.0 442 , 27.17 693,20.27 904 ,17.26 317 , 23.44 962,22.38 874 ,19.79 247 , 25.08 244,20.61 821 ,17.89 356 , 23.29 445,17.67 422 ,14.16 869 , 20.68 651,11.68 072 ,9.10 176 , 15.31 426,13.0 338 ,9.7 021 , 16.40 426,16.47 102 ,12.94 489 , 19.80 913,12.40 874 ,8.73 464 , 16.1 397,11.35 007 ,8.18 308 , 15.46 504
Nairobi,21.31 268 ,18.80 565 , 23.91 415,17.09 277 ,13.60 077 , 20.30 118,18.92 581 ,15.63 812 , 21.92 331,13.44 854 ,9.7 062 , 16.60 876,13.84 811 ,9.86 215 , 17.06 276,14.11 163 ,9.73 511 , 17.34 563,9.28 134 ,6.67 004 , 12.97 034,12.21 959 ,7.96 548 , 16.62 536,11.52 639 ,7.15 567 , 15.83 992,10.12 424 ,6.71 343 , 14.11 239
North Eastern,33.12 446 ,31.05 831 , 35.48 323,33.317 ,31.14 199 , 35.50 464,33.52 457 ,31.28 152 , 35.72 499,32.63 524 ,30.38 553 , 35.04 133,30.03 371 ,26.41 458 , 33.1 059,29.60 374 ,26.13 091 , 32.80 006,31.68 761 ,28.70 092 , 34.20 668,33.42 826 ,30.89 388 , 35.4 527,29.73 638 ,26.22 432 , 33.03 762,28.63 646 ,24.67 867 , 32.14 771
Nyanza,18.77 344 ,16.54 941 , 21.34 486,14.03 512 ,11.30 829 , 16.65 407,16.20 254 ,13.56 119 , 18.63 998,18.5 669 ,16.63 482 , 20.78 681,17.38 175 ,14.91 427 , 19.68 629,12.19 321 ,9.91 323 , 14.82 835,11.89 674 ,9.3 903 , 14.9 661,11.67 823 ,8.94 681 , 14.72 691,9.96 791 ,7.44 162 , 13.50 516,9.13 448 ,7.06 609 , 12.60 828
Rift Valley,25.37 096 ,22.93 569 , 27.85 029,21.6 366 ,18.92 484 , 24.48 108,23.81 212 ,21.61 464 , 26.28 802,21.56 872 ,19.00 613 , 24.24 722,19.96 964 ,16.88 454 , 22.67 752,16.52 034 ,12.96 101 , 19.52 092,15.47 548 ,11.88 125 , 18.48 297,18.23 278 ,14.77 846 , 21.08 914,15.89 638 ,12.01 618 , 19.28 046,15.37 355 ,11.08 803 , 18.91 532
Western,20.35 941 ,17.09 188 , 22.92 761,14.08 232 ,10.38 639 , 17.28 599,17.16 801 ,13.74 794 , 20.07 109,18.98 794 ,15.89 415 , 21.85 411,17.06 312 ,13.36 789 , 20.06 378,12.25 209 ,9.17 558 , 15.85 204,12.24 196 ,8.87 849 , 16.47 584,11.87 392 ,8.738 , 16.66 581,10.2 451 ,7.16 376 , 15.15 911,9.74 948 ,7.24 942 , 14.81 071
National,21.742 783 ,15.8 594,29.52 349,17.207 654 ,12.5 528,23.368,19.330 577 ,14.09 986,26.24 797,18.815 042 ,13.72 295,25.54 632,17.312 251 ,12.62 875,23.50 939,13.31 062 ,9.70 987,18.07 566,12.449 156 ,9.08 036,16.90 379,13.515 256 ,9.85 807,18.35 154,11.534 261 ,8.41 279,15.66 106,10.795 464 ,7.87 523,14.66 034
