States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Central,18.96 031 ,17.49 436 , 20.45 694,17.94 277 ,16.56 652 , 19.23 644,17.50 346 ,16.11 916 , 18.81 072,17.13 361 ,15.85 268 , 18.60 051,16.06 974 ,14.82 968 , 17.65 926,15.45 678 ,14.17 313 , 16.97 003,15.84 486 ,14.35 002 , 17.19 492,12.10 939 ,10.67 797 , 13.42 505,13.67 029 ,11.8 963 , 15.20 064,13.37 338 ,11.61 652 , 15.09 382
Copperbelt,16.08 467 ,14.81 778 , 17.22 489,16.70 216 ,15.58 339 , 17.76 721,14.98 242 ,13.95 737 , 15.97 666,13.95 513 ,12.98 496 , 15.05 941,13.26 775 ,12.37 335 , 14.63 564,15.09 519 ,13.72 499 , 16.35 796,18.02 567 ,16.2 389 , 19.52 389,16.26 479 ,14.57 112 , 17.68 315,15.62 289 ,13.9 998 , 17.08 196,12.77 261 ,11.32 034 , 14.05 664
Eastern,18.93 607 ,17.48 547 , 20.25 321,18.48 352 ,17.13 664 , 19.8 133,17.75 797 ,16.30 481 , 19.03 735,17.05 122 ,15.68 719 , 18.45 003,15.4 107 ,14.16 016 , 16.86 022,12.88 935 ,11.39 985 , 14.29 294,11.79 151 ,10.333 , 13.64 132,9.1 214 ,8.05 473 , 11.25 038,8.51 443 ,7.52 684 , 10.47 575,7.81 233 ,6.89 719 , 9.26 427
Luapula,21.63 552 ,20.13 499 , 22.98 166,18.98 356 ,17.61 362 , 20.36 345,18.24 305 ,16.79 575 , 19.59 505,17.31 134 ,15.84 047 , 18.75 914,18.40 982 ,16.87 483 , 19.55 515,15.93 191 ,14.49 903 , 17.48 235,16.62 727 ,14.97 888 , 17.91 443,11.30 071 ,9.60 825 , 12.60 762,9.35 079 ,7.96 227 , 10.61 703,11.52 333 ,9.56 978 , 13.10 835
Lusaka,17.95 569 ,16.30 248 , 19.1 486,17.45 194 ,16.00 273 , 18.70 792,16.43 799 ,14.93 313 , 17.49 466,15.49 578 ,13.88 048 , 16.87 115,15.34 227 ,13.22 281 , 16.48 847,14.67 976 ,12.83 598 , 16.14 276,11.13 114 ,8.91 309 , 12.59 094,9.93 476 ,7.97 868 , 11.33 274,7.2 155 ,6.34 387 , 8.5 243,6.88 128 ,5.67 288 , 8.10 439
Muchinga,24.07 564 ,22.42 268 , 25.56 608,21.16 305 ,19.69 195 , 22.6 881,18.74 975 ,17.25 987 , 20.1 656,19.19 528 ,17.70 464 , 20.67 877,17.58 543 ,15.95 576 , 18.89 785,15.64 345 ,13.96 063 , 17.23 256,15.30 405 ,13.17 759 , 17.06 025,12.79 261 ,10.96 593 , 14.26 893,12.43 054 ,10.22 798 , 13.88 753,13.40 135 ,11.33 887 , 15.32 803
North-Western,19.90 096 ,17.81 591 , 22.2 462,18.89 093 ,16.65 598 , 21.45 932,16.65 928 ,14.566 , 19.00 143,15.28 991 ,13.44 139 , 17.87 411,13.96 678 ,12.02 803 , 16.43 479,14.00 865 ,12.01 052 , 16.52 345,12.31 469 ,10.46 394 , 14.8 437,9.08 229 ,7.41 193 , 11.41 241,8.85 019 ,6.28 889 , 12.30 844,8.19 256 ,5.44 362 , 11.68 196
Northern,23.98 111 ,22.36 881 , 25.81 949,18.75 762 ,17.35 466 , 21.11 267,19.45 085 ,18.02 665 , 21.02 296,17.67 363 ,16.31 526 , 19.95 506,16.36 066 ,15.09 942 , 18.46 992,14.74 639 ,13.31 104 , 16.60 454,13.58 448 ,12.32 989 , 14.90 638,11.86 187 ,10.5 963 , 13.46 702,11.78 764 ,10.5 599 , 13.95 558,11.17 602 ,9.71 635 , 12.52 174
Southern,21.63 403 ,19.33 671 , 23.95 868,19.81 536 ,17.84 586 , 22.45 956,18.23 103 ,16.13 518 , 20.57 594,16.96 113 ,14.92 632 , 19.42 391,16.23 605 ,14.2 924 , 18.8 075,13.67 179 ,11.49 349 , 16.16 166,14.06 797 ,11.96 136 , 16.78 816,11.22 795 ,9.16 015 , 14.18 203,11.75 956 ,8.76 343 , 15.69 742,13.88 799 ,10.51 312 , 18.40 513
Western,18.90 734 ,17.10 912 , 21.07 592,18.40 293 ,16.39 513 , 20.77 181,18.38 354 ,16.29 259 , 20.63 482,17.98 503 ,16.01 686 , 20.4 884,16.4 211 ,14.33 509 , 18.55 588,14.90 416 ,12.61 833 , 17.2 666,13.0 105 ,10.77 541 , 15.33 595,9.44 485 ,7.52 345 , 11.89 479,11.73 416 ,8.72 432 , 14.65 244,8.27 096 ,6.10 179 , 11.72 685
National,18.982 162 ,15.82 411,22.54 704,18.099 397 ,15.08 663,21.49 624,17.067 658 ,14.22 884,20.27 401,16.203 871 ,13.50 833,19.24 739,15.488 397 ,12.90 958,18.39 426,14.70 478 ,12.2 577,17.46 543,14.277 607 ,11.90 276,16.95 969,11.780 216 ,9.82 193,13.99 481,11.305 933 ,9.42 395,13.42 774,10.656 828 ,8.88 301,12.65 698
