States,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Ondo,19 ,13 , 30,21 ,14 , 33,23 ,16 , 36,25 ,18 , 38,27 ,19 , 41,29 ,21 , 43,31 ,23 , 45,34 ,25 , 48,36 ,27 , 51,41 ,31 , 59
Osun,12 ,8 , 19,14 ,10 , 23,17 ,11 , 26,19 ,13 , 29,21 ,14 , 31,22 ,16 , 33,24 ,17 , 35,26 ,18 , 37,27 ,19 , 40,29 ,20 , 43
Oyo,21 ,15 , 32,24 ,17 , 35,30 ,21 , 43,33 ,23 , 47,36 ,25 , 51,37 ,27 , 53,38 ,27 , 54,45 ,32 , 62,47 ,33 , 65,49 ,35 , 69
Plateau,14 ,11 , 17,15 ,13 , 19,100 ,100 , 100,100 ,94 , 100,100 ,99 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100
Rivers,6 ,4 , 8,6 ,5 , 8,7 ,6 , 9,10 ,8 , 13,14 ,12 , 18,18 ,14 , 22,21 ,17 , 26,24 ,20 , 29,26 ,21 , 33,29 ,24 , 37
Sokoto,45 ,20 , 87,49 ,23 , 97,53 ,25 , 100,100 ,59 , 100,100 ,59 , 100,100 ,54 , 100,100 ,55 , 100,79 ,37 , 100,72 ,34 , 100,86 ,41 , 100
Taraba,43 ,35 , 52,48 ,39 , 58,53 ,43 , 64,71 ,58 , 86,86 ,70 , 100,90 ,73 , 100,94 ,76 , 100,97 ,79 , 100,100 ,85 , 100,88 ,71 , 100
Yobe,39 ,19 , 76,44 ,22 , 84,47 ,23 , 88,38 ,19 , 71,34 ,17 , 62,65 ,33 , 100,73 ,37 , 100,81 ,41 , 100,83 ,42 , 100,90 ,45 , 100
Zamfara,11 ,5 , 21,13 ,6 , 25,14 ,7 , 26,16 ,9 , 31,41 ,22 , 75,25 ,13 , 47,27 ,14 , 50,27 ,14 , 49,26 ,13 , 47,32 ,16 , 56
National,27 ,20,36,30 ,23,41,38 ,28,51,45 ,34,60,49 ,37,65,52 ,39,70,58 ,43,77,60 ,45,80,61 ,46,82,68 ,51,91
