States,2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper
Abia,43 ,34 , 53,46 ,37 , 56,49 ,40 , 61,52 ,42 , 65,54 ,43 , 67
Adamawa,70 ,53 , 96,77 ,57 , 100,86 ,63 , 100,94 ,69 , 100,100 ,73 , 100
Akwa Ibom,34 ,28 , 41,38 ,32 , 45,40 ,33 , 47,41 ,34 , 48,46 ,38 , 53
Anambra,47 ,37 , 62,52 ,41 , 68,58 ,45 , 76,64 ,49 , 85,68 ,52 , 92
Bauchi,74 ,43 , 100,72 ,42 , 100,80 ,46 , 100,91 ,52 , 100,95 ,54 , 100
Bayelsa,33 ,26 , 41,37 ,28 , 46,40 ,31 , 49,42 ,33 , 52,44 ,34 , 55
Benue,100 ,82 , 100,100 ,82 , 100,100 ,82 , 100,100 ,81 , 100,100 ,92 , 100
Borno,53 ,31 , 96,52 ,30 , 96,52 ,30 , 95,51 ,29 , 93,51 ,29 , 90
Cross River,70 ,55 , 89,71 ,55 , 90,74 ,58 , 94,79 ,61 , 100,95 ,73 , 100
Delta,44 ,34 , 58,46 ,36 , 60,49 ,38 , 63,50 ,39 , 65,53 ,40 , 68
Ebonyi,57 ,45 , 76,61 ,48 , 80,70 ,54 , 91,70 ,55 , 91,71 ,54 , 92
Edo,52 ,39 , 69,55 ,41 , 72,57 ,44 , 75,59 ,45 , 77,63 ,48 , 80
Ekiti,42 ,30 , 63,45 ,33 , 67,48 ,34 , 71,50 ,35 , 73,52 ,36 , 77
Enugu,63 ,48 , 79,66 ,51 , 85,67 ,52 , 85,69 ,52 , 87,70 ,52 , 90
FCT Abuja,100 ,92 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100,100 ,86 , 100
Gombe,100 ,98 , 100,100 ,100 , 100,100 ,99 , 100,100 ,99 , 100,100 ,100 , 100
Imo,52 ,39 , 67,53 ,40 , 68,56 ,41 , 72,56 ,40 , 72,59 ,41 , 75
Jigawa,51 ,30 , 84,58 ,33 , 96,68 ,39 , 100,73 ,42 , 100,78 ,44 , 100
Kaduna,97 ,71 , 100,98 ,71 , 100,100 ,77 , 100,97 ,68 , 100,100 ,80 , 100
Kano,58 ,36 , 93,63 ,40 , 100,69 ,44 , 100,72 ,46 , 100,76 ,48 , 100
Katsina,72 ,36 , 100,78 ,39 , 100,76 ,38 , 100,75 ,38 , 100,74 ,37 , 100
Kebbi,53 ,34 , 84,55 ,34 , 86,58 ,36 , 92,57 ,36 , 91,57 ,36 , 91
Kogi,51 ,37 , 75,56 ,40 , 84,62 ,44 , 94,68 ,48 , 100,75 ,53 , 100
Kwara,57 ,37 , 85,59 ,38 , 86,59 ,38 , 85,60 ,38 , 85,65 ,42 , 93
Lagos,63 ,50 , 82,66 ,53 , 86,69 ,55 , 90,72 ,57 , 94,75 ,59 , 98
Nassarawa,58 ,44 , 74,83 ,63 , 100,93 ,70 , 100,94 ,72 , 100,95 ,73 , 100
Niger,78 ,52 , 100,81 ,53 , 100,83 ,54 , 100,85 ,56 , 100,87 ,57 , 100
Ogun,,,,49 ,35 , 68,56 ,38 , 78,57 ,39 , 80,61 ,41 , 87
Ondo,47 ,34 , 70,49 ,36 , 72,52 ,37 , 75,54 ,39 , 79,56 ,41 , 81
Osun,32 ,22 , 47,33 ,24 , 50,35 ,25 , 52,37 ,26 , 54,39 ,28 , 58
Oyo,50 ,35 , 72,53 ,37 , 76,56 ,39 , 79,58 ,40 , 81,61 ,43 , 86
Plateau,100 ,93 , 100,100 ,97 , 100,100 ,100 , 100,100 ,100 , 100,100 ,100 , 100
Rivers,35 ,29 , 44,38 ,31 , 48,40 ,33 , 49,41 ,34 , 52,43 ,35 , 54
Sokoto,100 ,50 , 100,100 ,49 , 100,81 ,38 , 100,77 ,36 , 100,79 ,37 , 100
Taraba,82 ,67 , 100,87 ,71 , 100,91 ,73 , 100,97 ,78 , 100,81 ,65 , 100
Yobe,59 ,30 , 100,68 ,34 , 100,73 ,36 , 100,76 ,38 , 100,81 ,40 , 100
Zamfara,37 ,19 , 69,38 ,19 , 71,38 ,19 , 70,39 ,19 , 69,39 ,20 , 71
National,61 ,45,82,65 ,49,87,68 ,51,91,70 ,52,94,73 ,55,98
