,country,province,lat,lng
17,Kenya,Kitui,-1.3750813,37.9952144
18,Kenya,Kwale,-4.1816115,39.4605612
19,Kenya,Laikipia,0.3606063,36.7819505
20,Kenya,Lamu,-2.2695575,40.9006408
21,Kenya,Machakos,-1.5176837,37.2634146
22,Kenya,Makueni,-2.2558734,37.8936663
23,Kenya,Mandera,3.935638899999999,41.8551162
24,Kenya,Marsabit,2.3354966,37.9943453
25,Kenya,Meru,0.0514721,37.6456042
26,Kenya,Migori,-1.0706976,34.4752715
27,Kenya,Mombasa,-4.0434771,39.6682065
28,Kenya,Murang'a,-0.7839281,37.0400339
29,Kenya,Nairobi (County),-1.3106691,36.8250274
30,Kenya,Nakuru,-0.3030988,36.080026
31,Kenya,Nandi,0.1835867,35.1268781
32,Kenya,Narok,-1.0875428,35.87706420000001
33,Kenya,Nyamira,-0.6482688,34.994751
34,Kenya,Nyandarua,-0.1803855,36.5229641
35,Kenya,Nyeri,-0.437099,36.9580104
36,Kenya,Samburu,1.2154506,36.954107
37,Kenya,Siaya,-0.0617328,34.2421597
38,Kenya,Taita-Taveta,-3.3160687,38.48499229999999
39,Kenya,Tana River,-0.9628511,39.8698303
40,Kenya,Tharaka-Nithi,-0.2964851,37.7237678
41,Kenya,Trans-Nzoia,1.0566667,34.9506625
42,Kenya,Turkana,3.3122477,35.5657862
43,Kenya,Uasin Gishu,0.5527638000000001,35.3027226
44,Kenya,Vihiga,0.0767553,34.7077665
45,Kenya,Wajir,1.7488388,40.058633
46,Kenya,West Pokot,1.6210076,35.3905046
0,Malawi,Balaka,-14.9876054,34.9561748
1,Malawi,Blantyre,-15.7666707,35.0167866
2,Malawi,Blantyre City,-15.7666707,35.0167866
3,Malawi,Chikwawa,-16.0437784,34.8016945
4,Malawi,Chiradzulu,-15.6759485,35.1406293
5,Malawi,Chitipa,-9.7037655,33.2700253
6,Malawi,Dedza,-14.3816618,34.3254842
7,Malawi,Dowa,-13.6514687,33.9359756
8,Malawi,Karonga,-9.952536,33.9248222
9,Malawi,Kasungu,-13.0356794,33.4719832
10,Malawi,Likoma,-12.0584005,34.7354031
11,Malawi,Lilongwe,-13.9626121,33.7741195
12,Malawi,Lilongwe City,-13.9626121,33.7741195
13,Malawi,Machinga,-15.1699934,35.2999779
14,Malawi,Mangochi,-14.4861733,35.253304
15,Malawi,Mchinji,-13.8000058,32.8930441
16,Malawi,Mulanje,-16.0252339,35.5083136
17,Malawi,Mwanza,-15.5997929,34.5140637
18,Malawi,Mzimba North,-11.8991825,33.5923941
19,Malawi,Mzimba South,-11.8991825,33.5923941
20,Malawi,Mzuzu City,-11.4389649,34.0084395
21,Malawi,Neno,-15.6850711,34.5749882
22,Malawi,Nkhatabay,-11.6085556,34.2949409
23,Malawi,Nkhotakota,-12.9316863,34.2810541
24,Malawi,Nsanje,-16.9205934,35.253304
25,Malawi,Ntcheu,-14.8219765,34.6358702
26,Malawi,Ntchisi,-13.2841992,33.88577470000001
27,Malawi,Phalombe,-15.7633303,35.6587503
28,Malawi,Rumphi,-11.0171949,33.8550829
29,Malawi,Salima,-13.7795533,34.458641
30,Malawi,Thyolo,-16.069257,35.1406293
31,Malawi,Zomba,-15.3765857,35.3356518
32,Malawi,Zomba City,-15.3765857,35.3356518
0,Mozambique,Cabo Delgado,-12.3335474,39.3206241
1,Mozambique,Cidade de Maputo,-25.969248,32.5731746
2,Mozambique,Gaza,-23.0221928,32.7181375
3,Mozambique,Inhambane,-23.8662153,35.3826756
4,Mozambique,Manica,-18.9438274,32.8648538
5,Mozambique,Maputo,-25.969248,32.5731746
6,Mozambique,Nampula,-15.1266347,39.2687161
7,Mozambique,Niassa,-12.7826202,36.6093926
8,Mozambique,Sofala,-19.2039073,34.8624166
9,Mozambique,Tete,-16.1328104,33.6063855
10,Mozambique,Zambezia,-16.5638987,36.6093926
0,Nigeria,Abia,5.4527354,7.5248414
1,Nigeria,Adamawa,9.3264751,12.3983853
2,Nigeria,Akwa Ibom,4.9057371,7.853667499999999
3,Nigeria,Anambra,6.220899699999999,6.9369559
4,Nigeria,Bauchi,10.3009641,9.8236533
5,Nigeria,Bayelsa,4.7719071,6.0698526
6,Nigeria,Benue,7.3369024,8.7403687
7,Nigeria,Borno,11.8846356,13.1519665
