,country,province,lat,lng
124,Uganda,Rukungiri,-0.7911387999999999,29.924903
125,Uganda,Rwampara,-0.7476290999999999,30.4818446
126,Uganda,Serere,1.4970088,33.3934943
127,Uganda,Sheema,-0.5515298000000001,30.3896651
128,Uganda,Sironko,1.1607823,34.28660910000001
129,Uganda,Soroti,1.7131812,33.6063855
130,Uganda,Ssembabule,-0.08163750000000002,31.4599012
131,Uganda,Tororo,0.6782273999999999,34.1865669
132,Uganda,Wakiso,0.06301899999999999,32.4467238
133,Uganda,Yumbe,3.4698023,31.2483291
134,Uganda,Zombo,2.5134762,30.9087389
0,Zambia,Central,-14.3112263,28.299435
1,Zambia,Copperbelt,-13.0570073,27.5495846
2,Zambia,Eastern,-13.8056187,31.99280779999999
3,Zambia,Luapula,-11.564831,29.0459927
4,Zambia,Lusaka,-15.3875259,28.3228165
5,Zambia,Muchinga,-12.0,31.75
6,Zambia,North-Western,-13.0050258,24.9042208
7,Zambia,Northern,-9.7670177,30.8958242
8,Zambia,Southern,-16.9620634,26.419389
9,Zambia,Western,-15.9454906,23.3823545
0,Zimbabwe,Bulawayo,-20.1457125,28.5873388
1,Zimbabwe,Harare,-17.8216288,31.0492259
2,Zimbabwe,Manicaland,-18.9216386,32.174605
3,Zimbabwe,Mashonaland Central,-16.7644295,31.0793705
4,Zimbabwe,Mashonaland East,-18.5871642,31.2626366
5,Zimbabwe,Mashonaland West,-17.4851029,29.7889248
6,Zimbabwe,Masvingo,-20.0719916,30.8343285
7,Zimbabwe,Matabeleland North,-18.5331566,27.5495846
8,Zimbabwe,Matabeleland South,-21.052337,29.0459927
9,Zimbabwe,Midlands,-19.0552009,29.6035495
